date,url,project
01-01-2016,/alarms/all/severitycount,2d1456095456497a90668074ff4bab3a
01-01-2016,/alarms/all/severitycount,2d1456095456497a90668074ff4bab3a
01-01-2016,/events,2d1456095456497a90668074ff4bab3a
01-01-2016,/events,2d1456095456497a90668074ff4bab3a
01-01-2016,/events,2d1456095456497a90668074ff4bab3a
01-01-2016,/events,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/cpu_util/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/cpu_util/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/disk.read.bytes.rate/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/disk.read.bytes.rate/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/disk.write.bytes.rate/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/disk.write.bytes.rate/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/memory_util/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/memory_util/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/network.incoming.bytes.rate/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/network.incoming.bytes.rate/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/network.outgoing.bytes.rate/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/meters/network.outgoing.bytes.rate/graphdata,2d1456095456497a90668074ff4bab3a
01-01-2016,/alarms/all/severitycount,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/events,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/events,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/meters/cpu_util/graphdata,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/meters/disk.read.bytes.rate/graphdata,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/meters/disk.write.bytes.rate/graphdata,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/meters/memory_util/graphdata,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/meters/network.incoming.bytes.rate/graphdata,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/meters/network.outgoing.bytes.rate/graphdata,3dccd39e6b2048fe91d635a268f27d4a
01-01-2016,/alarms/all/severitycount,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/events,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/events,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/meters/cpu_util/graphdata,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/meters/disk.read.bytes.rate/graphdata,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/meters/disk.write.bytes.rate/graphdata,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/meters/memory_util/graphdata,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/meters/network.incoming.bytes.rate/graphdata,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/meters/network.outgoing.bytes.rate/graphdata,7c5c305e965c4110af12e01995d3b3d8
01-01-2016,/alarms/all/severitycount,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/alarms/all/severitycount,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/alarms/all/severitycount,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/alarms/all/severitycount,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/alarms/all/severitycount,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/alarms/all/severitycount,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/alarms/all/severitycount,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/events,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/cpu_util/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/cpu_util/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/cpu_util/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/cpu_util/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/cpu_util/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/cpu_util/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/cpu_util/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/cpu_util/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/disk.read.bytes.rate/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/disk.read.bytes.rate/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/disk.read.bytes.rate/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
01-01-2016,/meters/disk.read.bytes.rate/graphdata,99e7aa6640b54b5bbe8e360d6befc98a
